# FocusGlobe native-language review coverage. Generated and updated by
# Tools/review_manifest.py -- run `sync` after changing any translation table.
#
# R = a native-speaker judgement was made on THIS key in THIS language and the
#     value was then deliberately kept or rewritten. - = not yet.
# Passing localization_audit.py is NOT review; see the script's docstring.
catalog	area	key	english	context	es	pt-BR	fr	it	de	nl	ru	ro	zh-Hans	hi
app	passport	10 Flights	10 Flights	PassportView.swift:474	R	R	R	R	R	R	R	R	R	R
app	passport	100 Focus Minutes	100 Focus Minutes	PassportView.swift:478	R	R	R	R	R	R	R	R	R	R
app	passport	14-Day Streak	14-Day Streak	PassportView.swift:488	R	R	R	R	R	R	R	R	R	R
app	home-flight	1h Max Duration	1h Max Duration	CoinRewardsView.swift:425	R	R	R	R	R	R	R	R	R	R
app	paywall	2 days	2 days	PaywallView.swift:357	R	R	R	R	R	R	R	R	R	R
app	paywall	2 days before	2 days before	PaywallView.swift:1359	R	R	R	R	R	R	R	R	R	R
app	passport	25 Flights	25 Flights	PassportView.swift:476	R	R	R	R	R	R	R	R	R	R
app	passport	25-Min Pilot	25-Min Pilot	PassportView.swift:467	R	R	R	R	R	R	R	R	R	R
app	paywall	2x Coins in trips	2x Coins in trips	PaywallView.swift:1446	R	R	R	R	R	R	R	R	R	R
app	flight	2× PRO	2× PRO	LeaveFlightConfirmation.swift:63	R	R	R	R	R	R	R	R	R	R
app	home-flight	2× PRO Coins	2× PRO Coins	LandingView.swift:126	R	R	R	R	R	R	R	R	R	R
app	misc	2–4 hours	2–4 hours	RouteCategory.swift:27	R	R	R	R	R	R	R	R	R	R
app	passport	3-Day Streak	3-Day Streak	PassportView.swift:484	R	R	R	R	R	R	R	R	R	R
app	misc	30 min	30 min	RouteCategory.swift:25	R	R	R	R	R	R	R	R	R	R
app	misc	45–90 min	45–90 min	RouteCategory.swift:26	R	R	R	R	R	R	R	R	R	R
app	passport	5 Flights	5 Flights	PassportView.swift:472	R	R	R	R	R	R	R	R	R	R
app	onboarding	5 out of 5 stars	5 out of 5 stars	OnboardingPlanScreens.swift:602	R	R	R	R	R	R	R	R	R	R
app	passport	500 Focus Minutes	500 Focus Minutes	PassportView.swift:480	R	R	R	R	R	R	R	R	R	R
app	misc	6–12 hours	6–12 hours	RouteCategory.swift:28	R	R	R	R	R	R	R	R	R	R
app	passport	7-Day Streak	7-Day Streak	PassportView.swift:486	R	R	R	R	R	R	R	R	R	R
app	notifications	A 20-minute expedition is enough to protect your streak.	A 20-minute expedition is enough to protect your streak.	NotificationService.swift:346	R	R	R	R	R	R	R	R	R	R
app	names	A Sky made for deep work	A Sky made for deep work	HomeView.swift:974	R	R	R	R	R	R	R	R	R	R
app	store-items	A cabin companion	A cabin companion	StoreItem.swift:459	R	R	R	R	R	R	R	R	R	R
app	content	A calm Japanese evening — lantern glow and quiet temple roofs below.	A calm Japanese evening — lantern glow and quiet temple roofs below.	FocusSky.swift:265	R	R	R	R	R	R	R	R	R	R
app	app-chrome	A calm atmosphere for focus.	A calm atmosphere for focus.	OnboardingView.swift:921	-	-	-	-	-	-	-	-	-	-
app	store-items	A calm co-pilot	A calm co-pilot	StoreItem.swift:454	R	R	R	R	R	R	R	R	R	R
app	onboarding	A calmer way to focus, one flight at a time.	A calmer way to focus, one flight at a time.	OnboardingView.swift:208	R	R	R	R	R	R	R	R	R	R
app	store-items	A cool companion for long flights	A cool companion for long flights	StoreItem.swift:421	R	R	R	R	R	R	R	R	R	R
app	store-items	A cozy pool of light	A cozy pool of light	StoreItem.swift:494	R	R	R	R	R	R	R	R	R	R
app	app-chrome	A distraction-free session	A distraction-free session	OnboardingView.swift:609	-	-	-	-	-	-	-	-	-	-
app	onboarding	A finish line every flight	A finish line every flight	OnboardingPlanScreens.swift:1127	R	R	R	R	R	R	R	R	R	R
app	notifications	A gift is waiting in FocusGlobe	A gift is waiting in FocusGlobe	NotificationService.swift:244	R	R	R	R	R	R	R	R	R	R
app	store-items	A layered little lift	A layered little lift	StoreItem.swift:470	R	R	R	R	R	R	R	R	R	R
app	store-items	A little seasonal cheer	A little seasonal cheer	StoreItem.swift:443	R	R	R	R	R	R	R	R	R	R
app	notifications	A new expedition is waiting	A new expedition is waiting	NotificationService.swift:267	R	R	R	R	R	R	R	R	R	R
app	notifications	A new expedition is waiting when you are.	A new expedition is waiting when you are.	NotificationService.swift:364	R	R	R	R	R	R	R	R	R	R
app	misc	A quiet Kyoto evening	A quiet Kyoto evening	HomeView.swift:964	R	R	R	R	R	R	R	R	R	R
app	extracted	A quiet flight is one tap away.	A quiet flight is one tap away.	WidgetGallery.swift:378	-	-	-	-	-	-	-	-	-	-
app	online	A quiet sky today — clear air ahead	A quiet sky today — clear air ahead	OnlineJoiningView.swift:84	R	R	R	R	R	R	R	R	R	R
app	store-items	A restrained glint overhead	A restrained glint overhead	StoreItem.swift:530	R	R	R	R	R	R	R	R	R	R
app	store-items	A softer place to land	A softer place to land	StoreItem.swift:524	R	R	R	R	R	R	R	R	R	R
app	misc	A vast night made for depth	A vast night made for depth	HomeView.swift:968	R	R	R	R	R	R	R	R	R	R
app	content	A vast, silent desert night under a star-heavy sky.	A vast, silent desert night under a star-heavy sky.	FocusSky.swift:242	R	R	R	R	R	R	R	R	R	R
app	store-items	A view for the wall	A view for the wall	StoreItem.swift:438	R	R	R	R	R	R	R	R	R	R
app	content	A world of focus	A world of focus	BalloonSkin.swift:123	R	R	R	R	R	R	R	R	R	R
app	extracted	AD	AD	LandingView.swift:198	-	-	-	-	-	-	-	-	-	-
app	store-passport-friends-settings	Accept crew request	Accept crew request	FriendsView.swift:262	R	R	R	R	R	R	R	R	R	R
app	names	Account	Account	OnlineFriendsSettingsSection.swift:59	R	R	R	R	R	R	R	R	R	R
app	online	Active Flights	Active Flights	FriendsView.swift:358	R	R	R	R	R	R	R	R	R	R
app	home-flight	Add Friend	Add Friend	AmbientPilotsLayer.swift:496	R	R	R	R	R	R	R	R	R	R
app	online	Add a few letters or numbers.	Add a few letters or numbers.	OnlineProfile.swift:50	R	R	R	R	R	R	R	R	R	R
app	names	All	All	RouteSelectionView.swift:146	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	All done	All done	PassportView.swift:313	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Allow Friend Requests	Allow Friend Requests	OnlineFriendsSettingsSection.swift:71	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Allow pilots you meet to send you a Crew request.	Allow pilots you meet to send you a Crew request.	OnlineFriendsSettingsSection.swift:72	R	R	R	R	R	R	R	R	R	R
app	flight	Almost there — keep going	Almost there — keep going	JourneyPhase.swift:47	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Alpha Waves	Alpha Waves	JourneyAudioOption.swift:64	-	-	-	-	-	-	-	-	-	-
app	passport	Alpine Pilot	Alpine Pilot	PassportView.swift:507	R	R	R	R	R	R	R	R	R	R
app	online	Already applauded	Already applauded	PilotProfileSheet.swift:211	R	R	R	R	R	R	R	R	R	R
app	onboarding	Already have an account?	Already have an account?	OnboardingView.swift:225	R	R	R	R	R	R	R	R	R	R
app	store-items	Amber calm without a flame	Amber calm without a flame	StoreItem.swift:488	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Ambient audio during your flights	Ambient audio during your flights	SettingsView.swift:289	R	R	R	R	R	R	R	R	R	R
app	paywall	Annually	Annually	SubscriptionManager.swift:47	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Appear in Public Skies	Appear in Public Skies	OnlineFriendsSettingsSection.swift:66	R	R	R	R	R	R	R	R	R	R
app	extracted	Applaud	Applaud	PilotProfileSheet.swift:201	-	-	-	-	-	-	-	-	-	-
app	online	Applaud this pilot	Applaud this pilot	PilotProfileSheet.swift:211	R	R	R	R	R	R	R	R	R	R
app	extracted	Applauded	Applauded	PilotProfileSheet.swift:201	-	-	-	-	-	-	-	-	-	-
app	app-chrome	Apps aren't blocked right now.	Apps aren't blocked right now.	FocusShieldPickerView.swift:144	-	-	-	-	-	-	-	-	-	-
app	onboarding	Atmosphere	Atmosphere	OnboardingPlanScreens.swift:1096	R	R	R	R	R	R	R	R	R	R
app	content	Aurora Airship	Aurora Airship	Vehicle.swift:32	R	R	R	R	R	R	R	R	R	R
app	passport	Aurora Explorer	Aurora Explorer	PassportView.swift:501	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Available on iPhone and iPad	Available on iPhone and iPad	FlightSetup.swift:1271	R	R	R	R	R	R	R	R	R	R
app	names	Awesome	Awesome	CoinRewardsView.swift:203	R	R	R	R	R	R	R	R	R	R
app	home-flight	Awesome, thanks	Awesome, thanks	CoinRewardsView.swift:396	R	R	R	R	R	R	R	R	R	R
app	paywall	BALLOON SKIN	BALLOON SKIN	PaywallView.swift:1096	R	R	R	R	R	R	R	R	R	R
app	home-flight	BOARDING PASS	BOARDING PASS	FlightSetup.swift:1608	R	R	R	R	R	R	R	R	R	R
app	onboarding	Back	Back	PreBoardingFocusView.swift:110	R	R	R	R	R	R	R	R	R	R
app	names	Balloon	Balloon	StoreView.swift:22	R	R	R	R	R	R	R	R	R	R
app	passport	Become a FocusGlobe PRO member.	Become a FocusGlobe PRO member.	PassportView.swift:520	R	R	R	R	R	R	R	R	R	R
app	onboarding	Begin	Begin	OnboardingView.swift:218	R	R	R	R	R	R	R	R	R	R
app	content	Bench · Center	Bench · Center	StoreItem.swift:49	R	R	R	R	R	R	R	R	R	R
app	content	Bench · Left	Bench · Left	StoreItem.swift:48	R	R	R	R	R	R	R	R	R	R
app	extracted	Best %lld days	Best %lld days		-	-	-	-	-	-	-	-	-	-
app	store-passport-friends-settings	Best focus	Best focus	PassportView.swift:258	R	R	R	R	R	R	R	R	R	R
app	paywall	Billed immediately. Cancel anytime.	Billed immediately. Cancel anytime.	PaywallView.swift:514	R	R	R	R	R	R	R	R	R	R
app	paywall	Billed yearly	Billed yearly	PaywallView.swift:503	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Billing, restore & support	Billing, restore & support	SettingsView.swift:316	R	R	R	R	R	R	R	R	R	R
app	extracted	Block	Block	Block another pilot in Online, not blocking apps.	-	-	-	-	-	-	-	-	-	-
app	store-passport-friends-settings	Block apps during flights	Block apps during flights	FocusShieldPickerView.swift:112	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Block apps until landing	Block apps until landing	FocusShieldPickerView.swift:77	-	-	-	-	-	-	-	-	-	-
app	store-passport-friends-settings	Block distracting apps	Block distracting apps	FlightSetup.swift:1233	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Block distracting apps during flights	Block distracting apps during flights	FocusShieldSettingsSection.swift:20	R	R	R	R	R	R	R	R	R	R
app	onboarding	Block distracting apps in Focus Shield	Block distracting apps in Focus Shield	OnboardingPlanScreens.swift:1111	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Block distractions	Block distractions	FocusShieldBoardingRow.swift:74	-	-	-	-	-	-	-	-	-	-
app	store-passport-friends-settings	Block distractions during flights	Block distractions during flights	FocusShieldPickerView.swift:77	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Block this pilot?	Block this pilot?	PilotProfileSheet.swift:124	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Blocked apps	Blocked apps	FocusShieldPickerView.swift:124	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Blocked apps stay locked until you land.	Blocked apps stay locked until you land.	FocusShieldPickerView.swift:113	R	R	R	R	R	R	R	R	R	R
app	home-flight	Board the balloon	Board the balloon	PreBoardingFocusView.swift:258	R	R	R	R	R	R	R	R	R	R
app	extracted	Boarding pass. Focus flight to %@, %@. %@	Boarding pass. Focus flight to %@, %@. %@		-	-	-	-	-	-	-	-	-	-
app	content	Bright and bold	Bright and bold	BalloonSkin.swift:108	R	R	R	R	R	R	R	R	R	R
app	paywall	Bring Your Crew	Bring Your Crew	AppRouter.swift:320	R	R	R	R	R	R	R	R	R	R
app	home-flight	Bringing aboard	Bringing aboard	BoardingView.swift:331	R	R	R	R	R	R	R	R	R	R
app	flight	Bringing you down gently	Bringing you down gently	JourneyPhase.swift:48	R	R	R	R	R	R	R	R	R	R
app	extracted	Buy %@ for %lld Focus Coins	Buy %@ for %lld Focus Coins		-	-	-	-	-	-	-	-	-	-
app	paywall	CABIN ITEM	CABIN ITEM	PaywallView.swift:1097	R	R	R	R	R	R	R	R	R	R
app	flight	CHECK IN	CHECK IN	FlightSetup.swift:1665	R	R	R	R	R	R	R	R	R	R
app	passport	Cabin Decorator	Cabin Decorator	PassportView.swift:513	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Cabin full — remove one to place this	Cabin full — remove one to place this	StoreView.swift:293	-	-	-	-	-	-	-	-	-	-
app	store-passport-friends-settings	Cabin interior preview	Cabin interior preview	StoreView.swift:193	R	R	R	R	R	R	R	R	R	R
app	flight	Cabin view	Cabin view	FocusSessionView.swift:1219	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Cached online data on this device	Cached online data on this device	SettingsView.swift:568	-	-	-	-	-	-	-	-	-	-
app	app-chrome	Calm ambience to settle the mind.	Calm ambience to settle the mind.	OnboardingView.swift:919	-	-	-	-	-	-	-	-	-	-
app	onboarding	Cancel	Cancel	FriendsView.swift:173	R	R	R	R	R	R	R	R	R	R
app	extracted	Cancelled	Cancelled	HistoryView.swift:107	-	-	-	-	-	-	-	-	-	-
app	store-items	Candle Warmer Lamp	Candle Warmer Lamp	StoreItem.swift:487	R	R	R	R	R	R	R	R	R	R
app	store-items	Celestial calm above you	Celestial calm above you	StoreItem.swift:536	R	R	R	R	R	R	R	R	R	R
app	store-items	Ceramic Teapot	Ceramic Teapot	CabinView.swift:790	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Change blocked apps	Change blocked apps	FocusShieldPickerView.swift:126	-	-	-	-	-	-	-	-	-	-
app	app-chrome	Changes apply immediately.	Changes apply immediately.	FocusShieldPickerView.swift:143	-	-	-	-	-	-	-	-	-	-
app	home-flight	Chart your course	Chart your course	RouteSelectionView.swift:129	R	R	R	R	R	R	R	R	R	R
app	home-flight	Check in	Check in	FlightSetup.swift:367	R	R	R	R	R	R	R	R	R	R
app	flight	Checked in.	Checked in.	FlightSetup.swift:1541	R	R	R	R	R	R	R	R	R	R
app	home-flight	Checking FocusGlobe PRO access	Checking FocusGlobe PRO access	HomeView.swift:853	R	R	R	R	R	R	R	R	R	R
app	home-flight	Checking PRO access…	Checking PRO access…	HomeView.swift:632	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Checking access…	Checking access…	StoreView.swift:259	-	-	-	-	-	-	-	-	-	-
app	store-passport-friends-settings	Checking your membership…	Checking your membership…	OnlineFriendsSettingsSection.swift:115	R	R	R	R	R	R	R	R	R	R
app	passport	Choose a size, then tap Add Widget.	Choose a size, then tap Add Widget.	WidgetGallery.swift:423	R	R	R	R	R	R	R	R	R	R
app	home-flight	Choose a starting city to begin exploring.	Choose a starting city to begin exploring.	RouteSelectionView.swift:243	R	R	R	R	R	R	R	R	R	R
app	paywall	Choose an iconic balloon that feels unmistakably yours.	Choose an iconic balloon that feels unmistakably yours.	AppRouter.swift:331	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Choose apps	Choose apps	FocusShieldBoardingRow.swift:70	R	R	R	R	R	R	R	R	R	R
app	home-flight	Choose starting city	Choose starting city	RouteSelectionView.swift:246	R	R	R	R	R	R	R	R	R	R
app	onboarding	Choose the days you want to make part of your routine.	Choose the days you want to make part of your routine.	OnboardingView.swift:498	R	R	R	R	R	R	R	R	R	R
app	onboarding	Choose the sound you want to lift off with. Every one is free.	Choose the sound you want to lift off with. Every one is free.	OnboardingView.swift:515	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Choose where this item should appear in your cabin.	Choose where this item should appear in your cabin.	StoreView.swift:644	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Choose your Flight	Choose your Flight	FlightModeSelectorView.swift:39	R	R	R	R	R	R	R	R	R	R
app	flight	Choose your time	Choose your time	FlightSetup.swift:365	R	R	R	R	R	R	R	R	R	R
app	content	City Sky	City Sky	FocusSky.swift:264	R	R	R	R	R	R	R	R	R	R
app	extracted	Claim +%lld Focus Coins	Claim +%lld Focus Coins | plural: Claim +%lld Focus Coins		-	-	-	-	-	-	-	-	-	-
app	content	Classic Balloon	Classic Balloon	Vehicle.swift:26	R	R	R	R	R	R	R	R	R	R
app	home-flight	Clean mode	Clean mode	FocusSessionView.swift:1240	R	R	R	R	R	R	R	R	R	R
app	onboarding	Close	Close	HomeView.swift:807	R	R	R	R	R	R	R	R	R	R
app	store-items	Closed Laptop	Closed Laptop	StoreItem.swift:448	R	R	R	R	R	R	R	R	R	R
app	store-items	Cloud Pillow	Cloud Pillow	StoreItem.swift:523	R	R	R	R	R	R	R	R	R	R
app	names	Cloudship	Cloudship	Vehicle.swift:35	R	R	R	R	R	R	R	R	R	R
app	names	Cloudy	Cloudy	BalloonSkin.swift:132	R	R	R	R	R	R	R	R	R	R
app	extracted	Coins	Coins	Focus Coins — FocusGlobe's in-app currency. Never real money.	-	-	-	-	-	-	-	-	-	-
app	home-flight	Coins Boost Gifted	Coins Boost Gifted	CoinRewardsView.swift:344	R	R	R	R	R	R	R	R	R	R
app	home-flight	Coins Boost active: double coins on your next flight.	Coins Boost active: double coins on your next flight.	CoinRewardsView.swift:473	R	R	R	R	R	R	R	R	R	R
app	home-flight	Coins doubled	Coins doubled	LandingView.swift:178	R	R	R	R	R	R	R	R	R	R
app	flight	Coins ×2	Coins ×2	LandingView.swift:121	R	R	R	R	R	R	R	R	R	R
app	names	Collect	Collect	StoreView.swift:1053	R	R	R	R	R	R	R	R	R	R
app	notifications	Come back for one calm focus trip.	Come back for one calm focus trip.	NotificationService.swift:363	R	R	R	R	R	R	R	R	R	R
app	passport	Comeback Pilot	Comeback Pilot	PassportView.swift:521	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Coming soon ✨	Coming soon ✨	FocusShieldSettingsSection.swift:117	-	-	-	-	-	-	-	-	-	-
app	passport	Complete a flight early in the morning (before 8 am).	Complete a flight early in the morning (before 8 am).	PassportView.swift:493	R	R	R	R	R	R	R	R	R	R
app	passport	Complete a flight late at night (after 10 pm).	Complete a flight late at night (after 10 pm).	PassportView.swift:491	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Complete a flight to earn your first stamp.	Complete a flight to earn your first stamp.	PassportView.swift:431	R	R	R	R	R	R	R	R	R	R
app	passport	Complete five focus flights.	Complete five focus flights.	PassportView.swift:473	R	R	R	R	R	R	R	R	R	R
app	notifications	Complete one expedition today and keep your momentum.	Complete one expedition today and keep your momentum.	NotificationService.swift:352	R	R	R	R	R	R	R	R	R	R
app	flight	Complete one flight	Complete one flight	AppModel.swift:1685	R	R	R	R	R	R	R	R	R	R
app	passport	Complete ten focus flights.	Complete ten focus flights.	PassportView.swift:475	R	R	R	R	R	R	R	R	R	R
app	passport	Complete twenty-five focus flights.	Complete twenty-five focus flights.	PassportView.swift:477	R	R	R	R	R	R	R	R	R	R
app	home-flight	Complete your first expedition and it will appear here.	Complete your first expedition and it will appear here.	HistoryView.swift:39	R	R	R	R	R	R	R	R	R	R
app	passport	Complete your very first focus flight.	Complete your very first focus flight.	PassportView.swift:466	R	R	R	R	R	R	R	R	R	R
app	extracted	Completed focus flights from now to %@	Completed focus flights from now to %@		-	-	-	-	-	-	-	-	-	-
app	onboarding	Completed focus flights, if you keep this rhythm	Completed focus flights, if you keep this rhythm	OnboardingPlanScreens.swift:361	R	R	R	R	R	R	R	R	R	R
app	online	Connect to the internet to change your name.	Connect to the internet to change your name.	SettingsView.swift:248	R	R	R	R	R	R	R	R	R	R
app	online	Connection unavailable — try again.	Connection unavailable — try again.	PilotProfileSheet.swift:192	R	R	R	R	R	R	R	R	R	R
app	onboarding	Continue	Continue	FlightSetup.swift:576	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Continue Solo	Continue Solo	OnlineUnavailableView.swift:88	R	R	R	R	R	R	R	R	R	R
app	home-flight	Continue flight	Continue flight	HomeView.swift:1033	R	R	R	R	R	R	R	R	R	R
app	home-flight	Continue flying	Continue flying	HomeView.swift:917	R	R	R	R	R	R	R	R	R	R
app	paywall	Continue with Annual	Continue with Annual	PaywallView.swift:697	R	R	R	R	R	R	R	R	R	R
app	notifications	Continue your expedition from %@ to %@.	Continue your expedition from %@ to %@.	NotificationService.swift:302	R	R	R	R	R	R	R	R	R	R
app	online	Copy link	Copy link	InvitePeopleView.swift:294	R	R	R	R	R	R	R	R	R	R
app	content	Cosmic Sky	Cosmic Sky	FocusSky.swift:292	R	R	R	R	R	R	R	R	R	R
app	content	Cosmic drift	Cosmic drift	BalloonSkin.swift:130	R	R	R	R	R	R	R	R	R	R
app	misc	Cosmic silence for deep work	Cosmic silence for deep work	HomeView.swift:970	R	R	R	R	R	R	R	R	R	R
app	online	Couldn't create an invite link. Please try again.	Couldn't create an invite link. Please try again.	FocusSessionView.swift:232	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Couldn't create your private room	Couldn't create your private room	InvitePeopleView.swift:150	R	R	R	R	R	R	R	R	R	R
app	online	Couldn't reach FocusGlobe Online. Please try again.	Couldn't reach FocusGlobe Online. Please try again.	FocusSessionView.swift:220	R	R	R	R	R	R	R	R	R	R
app	flight	Cozy up inside	Cozy up inside	FocusSessionView.swift:1220	R	R	R	R	R	R	R	R	R	R
app	names	Create	Create	OnboardingPlanScreens.swift:1047	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Create Private Flight	Create Private Flight	CreateRoomView.swift:19	R	R	R	R	R	R	R	R	R	R
app	online	Create Room	Create Room	CreateRoomView.swift:28	R	R	R	R	R	R	R	R	R	R
app	paywall	Create private flights and focus with people you know.	Create private flights and focus with people you know.	AppRouter.swift:338	R	R	R	R	R	R	R	R	R	R
app	online	Creating your invite link	Creating your invite link	FocusSessionView.swift:1375	R	R	R	R	R	R	R	R	R	R
app	online	Creating your link…	Creating your link…	FocusSessionView.swift:1356	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Creating your private room…	Creating your private room…	InvitePeopleView.swift:52	R	R	R	R	R	R	R	R	R	R
app	flight	Crew flight	Crew flight	FlightSetup.swift:1486	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Crew member	Crew member	FriendsView.swift:328	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Crew requests, responses & connections	Crew requests, responses & connections	SettingsView.swift:566	-	-	-	-	-	-	-	-	-	-
app	misc	Crisp mountain air for focus	Crisp mountain air for focus	HomeView.swift:967	R	R	R	R	R	R	R	R	R	R
app	extracted	Current	Current	Marks the Cabin slot an item currently occupies. The noun is the slot/placement, not the streak.	-	-	-	-	-	-	-	-	-	-
app	app-chrome	Current Location	Current Location	LocationService.swift:122	-	-	-	-	-	-	-	-	-	-
app	app-chrome	Current position	Current position	StoreView.swift:774	-	-	-	-	-	-	-	-	-	-
app	content	Curtains of green and violet breathing over silent snow.	Curtains of green and violet breathing over silent snow.	FocusSky.swift:272	R	R	R	R	R	R	R	R	R	R
app	use-site-review	DATE	DATE	FlightSetup.swift:1651	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Daily Gift	Daily Gift	StoreView.swift:1037	R	R	R	R	R	R	R	R	R	R
app	store-passport-friends-settings	Daily bonus claimed — see you tomorrow.	Daily bonus claimed — see you tomorrow.	PassportView.swift:347	R	R	R	R	R	R	R	R	R	R
app	app-chrome	Dark Earth	Dark Earth	FocusSessionViewModel.swift:19	-	-	-	-	-	-	-	-	-	-
app	store-passport-friends-settings	Day streak	Day streak		R	R	R	R	R	R	R	R	R	R
